"leave","country_code","gender","age","years_education","news_consumption","trust_people","trust_politicians","past_vote","immig_econ","immig_culture","country_attach","religion","climate_change","imp_tradition","imp_equality","income","eu_integration","trade_union","unemployed","train"
0,"AT","Male",59,12,20,7,5,"Yes",7,0,10,"Roman Catholic",4,2,2,1,0,1,FALSE,TRUE
0,"AT","Male",33,14,105,8,3,"Yes",1,1,8,"Roman Catholic",2,5,4,0,5,1,FALSE,FALSE
0,"AT","Female",70,8,30,6,9,"Yes",6,7,7,"Roman Catholic",3,2,3,0,7,0,FALSE,TRUE
0,"AT","Female",42,21,75,5,0,"Yes",5,6,8,"Roman Catholic",5,5,4,1,3,0,FALSE,FALSE
1,"AT","Female",77,8,20,4,0,"Yes",1,1,10,"Roman Catholic",1,3,4,0,0,1,FALSE,TRUE
0,"AT","Male",55,14,30,2,4,"Yes",5,5,10,"Roman Catholic",4,3,2,1,2,1,FALSE,FALSE
0,"AT","Female",29,12,30,6,4,"Yes",5,4,9,"Roman Catholic",3,1,1,1,0,0,FALSE,FALSE
0,"AT","Female",23,12,90,3,0,"Yes",6,5,3,"Roman Catholic",2,4,4,0,4,0,FALSE,TRUE
0,"AT","Male",72,8,120,6,3,"Yes",0,0,10,"Roman Catholic",1,2,1,0,5,1,FALSE,TRUE
1,"AT","Female",51,14,10,5,4,"No",6,3,7,"Roman Catholic",4,3,3,0,2,1,FALSE,FALSE
0,"AT","Male",25,12,30,8,8,"Yes",6,7,8,"Roman Catholic",2,1,2,0,8,1,FALSE,TRUE
0,"AT","Male",44,15,60,2,5,"Yes",7,5,10,"Roman Catholic",3,4,2,1,3,1,FALSE,TRUE
0,"AT","Female",41,18,10,7,6,"No",9,10,7,"Roman Catholic",3,3,3,1,0,1,FALSE,FALSE
0,"AT","Female",27,16,20,7,5,"Yes",7,5,7,"Roman Catholic",4,3,2,0,3,0,FALSE,TRUE
0,"AT","Male",79,9,45,2,4,"Yes",5,4,10,"Roman Catholic",3,1,3,0,4,0,FALSE,TRUE
0,"AT","Female",37,15,45,7,5,"Yes",2,7,10,"Roman Catholic",3,2,2,0,8,0,FALSE,FALSE
0,"AT","Female",38,18,0,3,2,"Yes",4,5,8,"Roman Catholic",2,2,2,1,5,1,FALSE,FALSE
0,"AT","Female",49,12,15,3,1,"Yes",3,3,9,"Roman Catholic",3,2,2,1,3,0,FALSE,TRUE
0,"AT","Female",67,10,60,6,3,"Yes",6,5,9,"Roman Catholic",3,2,2,1,7,0,FALSE,TRUE
1,"AT","Female",41,11,10,4,0,"Yes",3,4,9,"Roman Catholic",3,3,2,1,2,0,FALSE,FALSE
0,"AT","Female",50,12,45,7,4,"Yes",6,4,8,"Roman Catholic",3,2,1,1,4,0,FALSE,FALSE
0,"AT","Female",72,11,90,10,1,"Yes",8,6,10,"Roman Catholic",4,4,1,0,9,1,FALSE,TRUE
