"countryiso3","country","continent","ghs_index","gdp_percap","pct_urban","health_gdp_pct","democracy","deaths_per_100k","female_leader"
"SYR","Syria","Asia",19.9,NA,29.2975915514286,NA,FALSE,1.10852981119509,FALSE
"TCD","Chad","Africa",28.8,692.978595813865,8.44985731715039,4.5381013,FALSE,0.51747674200783,FALSE
"TGO","Togo","Africa",32.5,597.065458898228,22.2541901732528,6.61568574,FALSE,0.567719448026915,TRUE
"THA","Thailand","Asia",73.2,5978.61145407809,19.2310367332189,3.71143463,FALSE,0.0845272472721983,FALSE
"TJK","Tajikistan","Asia",32.3,802.518004052824,NA,6.99849461,FALSE,0.786357885942878,FALSE
"TLS","Timor","Asia",26,2053.27379585463,NA,4.02059179,TRUE,0,FALSE
"TTO","Trinidad and Tobago","North America",36.6,16176.9473700573,NA,6.5104014,TRUE,5.14472761882713,TRUE
"TUN","Tunisia","Africa",33.7,3698.05850375479,19.6237756266705,6.95195517,TRUE,1.81070240192212,FALSE
"TUR","Turkey","Asia",52.4,10820.633842346,36.8040309427544,4.3143198,FALSE,9.55903389350987,FALSE
"TZA","Tanzania","Africa",36.4,966.474622354379,11.8735385467398,4.13992059,FALSE,0.0351557322769114,FALSE
"UGA","Uganda","Africa",44.3,608.705735097409,6.82713813070613,6.16503174,FALSE,0.163966681970224,FALSE
"UKR","Ukraine","Europe",38,2187.73199668415,11.9235781106595,6.72703787,FALSE,9.13710618837955,FALSE
"URY","Uruguay","South America",41.3,15387.14403013,50.1516004640008,9.06075776,TRUE,1.35301363636233,FALSE
"USA","United States","North America",83.5,57904.2019610641,45.713313996139,17.07341533,TRUE,61.9541873331303,FALSE
"UZB","Uzbekistan","Asia",34.3,2567.79920656883,7.55809017235045,6.33520937,FALSE,1.38336146018911,FALSE
"VCT","Saint Vincent and the Grenadines","North America",33,7075.06582034944,NA,3.56292208,NA,0,FALSE
"VEN","Venezuela","South America",23,NA,30.5901603015917,3.21708435,FALSE,2.15923910102085,FALSE
"VNM","Vietnam","Asia",49.1,2192.21453866566,15.8529605764384,5.65919354,FALSE,0.0359569647731568,FALSE
"YEM","Yemen","Asia",18.5,1139.87056813026,9.5197843361782,NA,FALSE,1.9714364341838,FALSE
"ZAF","South Africa","Africa",54.8,5272.91842475419,34.4699492314147,8.1098146,TRUE,27.9655477131597,FALSE
"ZMB","Zambia","Africa",28.7,1280.57844679257,14.0195558323775,4.47720737,TRUE,1.80592251199905,FALSE
"ZWE","Zimbabwe","Africa",38.2,1464.58352903946,10.7253112707487,9.41366844,FALSE,1.53401816479352,FALSE
